SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	79246	45455
25	1101	1367120	1240425
26	1101	1060275	967566
27	1101	1255710	1141160
0	1102	78169	44849
25	1102	1361686	1237356
26	1102	1069917	980796
27	1102	1257291	1146065
0	1103	77948	43739
25	1103	1356985	1230800
26	1103	1072306	981397
27	1103	1257589	1144722
0	1104	78448	43447
25	1104	1370298	1243356
26	1104	1082811	990953
27	1104	1266978	1153598
0	1105	80158	43184
25	1105	1375149	1241244
26	1105	1086088	988504
27	1105	1271202	1151577
0	1106	79903	41313
25	1106	1374787	1238341
26	1106	1091661	992826
27	1106	1278020	1156978
0	1107	80547	40483
25	1107	1375463	1233301
26	1107	1101032	997108
27	1107	1282516	1156136
0	1108	82951	40275
25	1108	1373703	1226219
26	1108	1101823	994028
27	1108	1277820	1147795
0	1109	84584	40009
25	1109	1383065	1227980
26	1109	1112810	999081
27	1109	1289683	1152123
0	1110	86984	38936
25	1110	1386732	1219508
26	1110	1111220	988529
27	1110	1291812	1144127
0	1111	91551	38719
25	1111	1392660	1216037
26	1111	1116759	988325
27	1111	1300016	1145306
0	1112	90639	37101
25	1112	1399779	1216758
26	1112	1125767	992233
27	1112	1311364	1149679
0	1113	91784	35915
25	1113	1391286	1198661
26	1113	1127001	987520
27	1113	1305820	1136724
0	1114	94251	34693
25	1114	1397363	1197951
26	1114	1134052	988321
27	1114	1313407	1138178
0	1115	94150	32430
25	1115	1391390	1183055
26	1115	1133050	978282
27	1115	1309806	1125919
0	1116	92289	29966
25	1116	1389059	1176817
26	1116	1127411	970507
27	1116	1309933	1124649
0	1201	82408	46193
25	1201	1369877	1237583
26	1201	1041845	944424
27	1201	1251424	1129769
0	1202	80312	45021
25	1202	1372458	1242551
26	1202	1054497	958939
27	1202	1255474	1137255
0	1203	79722	44188
25	1203	1377376	1248324
26	1203	1061533	966889
27	1203	1265371	1148022
0	1204	79669	43428
25	1204	1381790	1248101
26	1204	1065863	967348
27	1204	1267862	1145981
0	1205	80164	43385
25	1205	1391668	1255144
26	1205	1073760	973610
27	1205	1278323	1155565
0	1206	79692	42039
25	1206	1394752	1252791
26	1206	1080291	975214
27	1206	1282265	1154803
0	1207	78258	40858
25	1207	1397981	1255641
26	1207	1085847	980886
27	1207	1286060	1158679
0	1208	79324	40612
25	1208	1403326	1255069
26	1208	1092379	983913
27	1208	1289425	1156747
0	1209	81873	40600
25	1209	1407377	1252186
26	1209	1093591	980272
27	1209	1293004	1155679
0	1210	82491	39512
25	1210	1417963	1252718
26	1210	1101797	980925
27	1210	1306362	1160432
0	1211	84380	39269
25	1211	1422298	1252678
26	1211	1105240	982028
27	1211	1311029	1162160
0	1212	87661	38060
25	1212	1422772	1242105
26	1212	1110727	978848
27	1212	1311160	1152629
0	1213	86093	35817
25	1213	1418998	1234841
26	1213	1116812	982446
27	1213	1313758	1151309
0	1214	87053	34709
25	1214	1420920	1226613
26	1214	1120794	979317
27	1214	1317118	1146657
0	1215	88776	33470
25	1215	1408883	1208439
26	1215	1116861	969389
27	1215	1308926	1132508
0	1216	89386	31477
25	1216	1415874	1211654
26	1216	1125946	974142
27	1216	1316859	1139955
0	1301	85768	46534
25	1301	1368584	1233429
26	1301	1050432	952021
27	1301	1254624	1131728
0	1302	81768	44732
25	1302	1373981	1241538
26	1302	1061522	965040
27	1302	1260548	1141374
0	1303	80900	43491
25	1303	1375352	1238200
26	1303	1069165	968947
27	1303	1266695	1144386
0	1304	81643	42922
25	1304	1382004	1242270
26	1304	1074648	972646
27	1304	1272813	1146670
0	1305	81704	42146
25	1305	1393215	1249812
26	1305	1083141	977436
27	1305	1279919	1151857
0	1306	81817	41392
25	1306	1392868	1245059
26	1306	1090059	981416
27	1306	1285154	1152300
0	1307	81122	40392
25	1307	1393314	1244514
26	1307	1095939	985830
27	1307	1287653	1155045
0	1308	82524	39925
25	1308	1392915	1236766
26	1308	1099876	985433
27	1308	1287371	1149552
0	1309	83399	39674
25	1309	1398890	1238042
26	1309	1102955	984353
27	1309	1295363	1153181
0	1310	83909	38661
25	1310	1406232	1232852
26	1310	1103496	976541
27	1310	1301608	1148406
0	1311	86423	38132
25	1311	1411013	1227759
26	1311	1109186	975836
27	1311	1307447	1146432
0	1312	88152	37393
25	1312	1417782	1228057
26	1312	1119310	980421
27	1312	1315769	1148928
0	1313	88180	35581
25	1313	1405696	1209441
26	1313	1122898	978795
27	1313	1308970	1137316
0	1314	91652	34431
25	1314	1407608	1202895
26	1314	1123625	973360
27	1314	1312711	1133679
0	1315	89859	31931
25	1315	1406907	1195905
26	1315	1127307	971142
27	1315	1313827	1129398
0	1316	88538	29732
25	1316	1401945	1187984
26	1316	1120636	962588
27	1316	1311287	1125280
0	2101	81178	44941
25	2101	1349085	1223577
26	2101	1041267	948227
27	2101	1238255	1123401
0	2102	79379	43795
25	2102	1350768	1222726
26	2102	1055277	962397
27	2102	1245738	1130242
0	2103	78739	42714
25	2103	1351479	1226287
26	2103	1057666	966030
27	2103	1245670	1132829
0	2104	81172	42707
25	2104	1364768	1232591
26	2104	1066117	970163
27	2104	1258533	1139898
0	2105	82175	42472
25	2105	1364442	1229966
26	2105	1069308	970567
27	2105	1260749	1139611
0	2106	81233	40621
25	2106	1371870	1232051
26	2106	1077861	974699
27	2106	1266705	1141461
0	2107	82362	39596
25	2107	1367552	1222254
26	2107	1080706	973900
27	2107	1267040	1137393
0	2108	84119	39403
25	2108	1371866	1223555
26	2108	1086932	977464
27	2108	1269333	1137680
0	2109	85624	38646
25	2109	1376676	1219418
26	2109	1089492	973993
27	2109	1274514	1134989
0	2110	86798	37591
25	2110	1384962	1217711
26	2110	1093064	970044
27	2110	1282829	1134513
0	2111	91953	37899
25	2111	1394725	1215901
26	2111	1094058	962987
27	2111	1287916	1130753
0	2112	94955	36897
25	2112	1398473	1209345
26	2112	1096324	956929
27	2112	1291546	1125181
0	2113	92027	34556
25	2113	1401890	1209503
26	2113	1098769	957014
27	2113	1297298	1128830
0	2114	98553	34131
25	2114	1403342	1198783
26	2114	1098852	946881
27	2114	1296982	1116915
0	2115	98826	32678
25	2115	1399302	1186644
26	2115	1091098	932135
27	2115	1290394	1103098
0	2116	98542	30058
25	2116	1402154	1185099
26	2116	1088009	925142
27	2116	1288909	1099912
0	2201	82599	47127
25	2201	1360315	1237599
26	2201	1034360	944403
27	2201	1244703	1130984
0	2202	81041	46227
25	2202	1366201	1242807
26	2202	1047827	956832
27	2202	1254521	1140503
0	2203	80339	45478
25	2203	1373384	1248114
26	2203	1053553	962011
27	2203	1259474	1145780
0	2204	79720	44367
25	2204	1379566	1253254
26	2204	1058707	965264
