SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	32990	20552
13	1101	275219	266054
14	1101	261519	251088
15	1101	224770	216711
16	1101	231232	222703
17	1101	222361	213708
18	1101	246581	238349
19	1101	240168	231130
20	1101	233531	224986
21	1101	225918	216132
22	1101	227128	217985
23	1101	262728	252621
24	1101	276093	265900
0	1102	31456	18458
13	1102	277888	269299
14	1102	262015	251713
15	1102	226085	218350
16	1102	234010	225606
17	1102	224170	215660
18	1102	248300	240434
19	1102	241879	232887
20	1102	235111	226834
21	1102	227514	218256
22	1102	228479	219335
23	1102	264660	254818
24	1102	276431	266157
0	1103	31529	18311
13	1103	277123	268396
14	1103	261319	250847
15	1103	226032	218220
16	1103	232641	224361
17	1103	224029	215774
18	1103	248151	240272
19	1103	242420	233056
20	1103	235210	226951
21	1103	228493	219395
22	1103	228836	219793
23	1103	264872	254753
24	1103	277495	267101
0	1104	32102	18314
13	1104	280446	271713
14	1104	262729	252436
15	1104	227701	219961
16	1104	234408	226086
17	1104	225224	216934
18	1104	249560	241467
19	1104	243536	234497
20	1104	236929	228702
21	1104	229204	220202
22	1104	230066	221096
23	1104	266042	256159
24	1104	278828	268547
0	1105	32174	18249
13	1105	281653	273099
14	1105	265146	255101
15	1105	228872	221372
16	1105	236198	227992
17	1105	226393	218472
18	1105	251423	243575
19	1105	243919	234907
20	1105	237432	229258
21	1105	230285	221379
22	1105	231724	223038
23	1105	268719	258838
24	1105	281296	271189
0	1106	32558	17942
13	1106	283133	274182
14	1106	265921	255517
15	1106	230075	222196
16	1106	236308	227782
17	1106	228939	220292
18	1106	254326	246208
19	1106	245863	236649
20	1106	239931	231386
21	1106	232842	223700
22	1106	233241	224244
23	1106	269290	258959
24	1106	282684	272262
0	1107	33328	17886
13	1107	284697	275554
14	1107	266511	255639
15	1107	231435	223175
16	1107	236793	228003
17	1107	229721	220941
18	1107	254577	246130
19	1107	244809	235136
20	1107	240846	232073
21	1107	233048	223466
